Fighter_Name,Height,Weight,Reach,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Fighter_URL,Height_cm
Eryk Anders,"6' 1""",185 lbs.,"75.0""",Southpaw,1987-04-21,17,9,0,3.51,48%,4.09,50%,1.75,24%,80%,0.1,http://ufcstats.com/fighter-details/cad24459b28592ca,185.4
Matt Andersen,"6' 2""",230 lbs.,,Southpaw,1971-05-29,14,8,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/8738eacd62e82a32,188.0
Andy Anderson,"5' 6""",240 lbs.,,,1974-07-16,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/9199e0735b83dd32,167.6
Lowell Anderson,"5' 6""",160 lbs.,,Orthodox,,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/1ffc38f67785797b,167.6
Corey Anderson,"6' 3""",205 lbs.,"79.0""",Orthodox,1989-09-22,14,5,0,4.43,46%,2.22,59%,4.89,50%,83%,0.0,http://ufcstats.com/fighter-details/5e4eec08896c9423,190.5
Derek Anderson,"6' 0""",155 lbs.,,,1990-02-02,14,3,0,3.97,37%,3.08,61%,0.34,14%,60%,0.0,http://ufcstats.com/fighter-details/19ba965651486013,182.9
Megan Anderson,"6' 0""",145 lbs.,"72.0""",Orthodox,1990-02-11,11,5,0,1.76,46%,3.35,37%,0.52,25%,53%,0.5,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,182.9
Liam Anderson,"6' 3""",185 lbs.,"75.0""",Orthodox,1995-01-13,6,3,0,3.0,52%,6.53,31%,1.0,20%,50%,0.0,http://ufcstats.com/fighter-details/b03a0c78ca45facf,190.5
Tatsuya Ando,"5' 4""",145 lbs.,"68.0""",Southpaw,1990-04-26,14,4,1,0.93,19%,4.93,50%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/17615148dd4be6f6,162.6
Alex Andrade,"5' 11""",200 lbs.,,Orthodox,1974-05-14,10,5,0,0.2,36%,2.6,53%,0.0,0%,25%,0.8,http://ufcstats.com/fighter-details/1562b12763cc8d67,180.3
Jessica Andrade,"5' 1""",115 lbs.,"62.0""",Orthodox,1991-09-25,26,15,0,6.37,48%,5.58,54%,2.1,54%,75%,0.3,http://ufcstats.com/fighter-details/6a1901c62ab3870f,154.9
Viscardi Andrade,"5' 11""",170 lbs.,"75.0""",Orthodox,1984-03-08,19,6,0,3.26,42%,2.77,63%,1.93,50%,66%,0.3,http://ufcstats.com/fighter-details/d221ee27afc7a60e,180.3
Jermaine Andre,"5' 7""",200 lbs.,,Orthodox,1973-07-16,14,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/9bad58fa651d6196,170.2
Fellipe Andrew,,,,,1994-10-24,0,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/7977fb0fd9c5955d,
Dylan Andrews,"6' 1""",185 lbs.,"74.0""",Switch,1979-11-15,18,7,0,2.21,50%,2.72,46%,2.83,50%,57%,0.4,http://ufcstats.com/fighter-details/00debc804e2b1cd4,185.4
Reese Andy,"6' 0""",205 lbs.,,Orthodox,1973-03-31,7,3,0,2.87,50%,3.5,58%,0.67,20%,40%,0.0,http://ufcstats.com/fighter-details/46e2ca71fd5089cb,182.9
Angga,"5' 7""",145 lbs.,"68.0""",Orthodox,1989-01-13,13,3,0,3.56,38%,3.77,53%,0.0,0%,33%,0.0,http://ufcstats.com/fighter-details/d6a3e131ad4ba064,170.2
Julius Anglickas,"6' 3""",205 lbs.,,Orthodox,1991-07-23,5,1,0,4.62,78%,1.86,50%,4.47,50%,60%,1.1,http://ufcstats.com/fighter-details/e20ad078a7d63361,190.5
Collin Anglin,"5' 9""",145 lbs.,"71.0""",Orthodox,1993-02-20,8,3,0,4.59,48%,5.54,51%,2.28,66%,100%,0.0,http://ufcstats.com/fighter-details/047a91d3d9c79b05,175.3
Chad Anheliger,"5' 6""",135 lbs.,"64.0""",Orthodox,1986-12-01,13,8,0,3.11,46%,2.76,53%,0.68,30%,38%,0.5,http://ufcstats.com/fighter-details/c7c39e2fb70248b3,167.6
Yoji Anjo,"5' 11""",205 lbs.,,Orthodox,1967-03-28,0,5,1,0.0,0%,3.13,25%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e06fd1260ac865a7,180.3
Magomed Ankalaev,"6' 3""",205 lbs.,"75.0""",Orthodox,1992-06-02,21,2,1,3.65,52%,2.59,56%,0.79,22%,87%,0.0,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,190.5
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70.0""",Orthodox,1987-02-09,20,8,0,2.08,55%,4.21,40%,5.08,36%,0%,1.4,http://ufcstats.com/fighter-details/af997f7611673880,180.3
Adam Antolin,"5' 5""",125 lbs.,"63.0""",Orthodox,1982-02-28,12,3,0,5.73,52%,5.0,69%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/25b31165758402dd,165.1
Angelo Antonio,,205 lbs.,,Orthodox,1998-10-04,1,4,0,1.09,50%,7.64,50%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/dbd198f780286aca,
Vanilto Antunes,"6' 0""",170 lbs.,"72.0""",Orthodox,1994-12-28,16,7,0,5.49,48%,14.27,43%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/cc49ada1ea955b13,182.9
Azunna Anyanwu,"6' 1""",251 lbs.,,Orthodox,1981-08-05,14,5,0,2.47,42%,2.47,69%,0.65,100%,0%,0.0,http://ufcstats.com/fighter-details/78d48d3874dacafd,185.4
Shinsho Anzai,"5' 7""",170 lbs.,"70.0""",Orthodox,1985-12-01,10,3,0,3.23,58%,3.75,45%,1.83,16%,75%,0.0,http://ufcstats.com/fighter-details/4665f9f909cd7214,170.2
Jin Aoi,"5' 6""",145 lbs.,"68.0""",Orthodox,1997-01-21,14,6,1,1.6,29%,5.8,51%,0.0,0%,71%,0.0,http://ufcstats.com/fighter-details/031da10a00c8ccd4,167.6
Shinya Aoki,"5' 11""",154 lbs.,,Southpaw,1983-05-09,39,7,0,0.97,58%,1.25,58%,2.54,41%,60%,4.0,http://ufcstats.com/fighter-details/79ded75550efc139,180.3
Aoriqileng,"5' 7""",135 lbs.,"69.0""",Orthodox,1993-06-25,26,12,0,4.69,49%,5.47,48%,1.2,46%,58%,0.0,http://ufcstats.com/fighter-details/7d420039bbfe7c1a,170.2
Josh Appelt,"5' 10""",255 lbs.,,Southpaw,1983-06-19,15,7,0,1.35,40%,11.5,32%,0.0,0%,33%,0.0,http://ufcstats.com/fighter-details/0c1a04afca64e38f,177.8
Erik Apple,"6' 0""",170 lbs.,,Orthodox,1977-08-26,10,3,0,0.0,0%,0.54,81%,0.0,0%,0%,8.1,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb,182.9
Kenji Arai,"5' 10""",145 lbs.,,Southpaw,1979-10-05,15,15,5,8.79,27%,10.29,39%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/269d103c96a4c3a5,177.8
Romie Aram,"5' 10""",170 lbs.,,Orthodox,1977-12-02,7,1,0,1.8,35%,2.83,50%,2.5,62%,83%,0.0,http://ufcstats.com/fighter-details/73ef22f25d0f70e2,177.8
Felipe Arantes,"5' 8""",135 lbs.,"73.0""",Orthodox,1988-02-09,18,10,1,2.37,45%,2.66,64%,0.93,47%,41%,0.7,http://ufcstats.com/fighter-details/71002dbc1743b9a7,172.7
Igor Araujo,"6' 1""",170 lbs.,"77.0""",Orthodox,1980-12-06,25,9,0,1.52,42%,2.86,49%,0.86,15%,22%,0.6,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d,185.4
Viviane Araujo,"5' 4""",125 lbs.,"68.0""",Orthodox,1986-11-21,13,7,0,3.84,47%,4.83,55%,1.72,43%,75%,0.6,http://ufcstats.com/fighter-details/36541f1e6c5d4955,162.6
Julio Arce,"5' 7""",145 lbs.,"70.0""",Southpaw,1989-10-27,19,6,0,4.36,36%,3.05,68%,0.46,28%,96%,0.3,http://ufcstats.com/fighter-details/1291edf2d566a71a,170.2
Art Arciniega,"5' 8""",145 lbs.,,,1981-10-15,15,7,0,1.53,46%,2.73,51%,0.0,0%,50%,1.0,http://ufcstats.com/fighter-details/d25e39e74efb0a77,172.7
Alice Ardelean,"5' 3""",115 lbs.,"62.0""",Orthodox,1992-04-19,11,7,0,7.35,45%,5.2,62%,1.0,44%,85%,0.0,http://ufcstats.com/fighter-details/87f8699fdcc2c404,160.0
Tristan Arenal,,155 lbs.,,,1985-03-06,7,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/9c9455912d917e4e,
Gabriel Arges,,170 lbs.,,,1993-01-29,0,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/db3c4a884d704efe,
Dan Argueta,"5' 7""",135 lbs.,"68.0""",Southpaw,1993-08-13,9,3,0,2.48,43%,3.44,50%,4.36,35%,55%,1.4,http://ufcstats.com/fighter-details/e4ba58725825412d,170.2
Reza Arianto,,155 lbs.,,,,5,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/90063913321e7670,
Hashem Arkhagha,"6' 2""",185 lbs.,"75.0""",Orthodox,1989-09-11,6,1,0,1.84,44%,8.97,43%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/9a7ffa80766caa51,188.0
Andrei Arlovski,"6' 3""",240 lbs.,"77.0""",Orthodox,1979-02-04,34,24,0,3.82,45%,3.22,57%,0.37,35%,76%,0.2,http://ufcstats.com/fighter-details/3738e68d2261e60f,190.5
Garrett Armfield,"5' 6""",135 lbs.,"70.0""",Orthodox,1996-10-09,10,5,0,5.35,53%,3.64,56%,1.1,50%,64%,0.6,http://ufcstats.com/fighter-details/1effd880e1f1bb30,167.6
Joey Armstrong,,,,,,5,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/30ad2050273d016a,
Austin Arnett,"6' 0""",145 lbs.,"72.0""",Orthodox,1991-10-22,16,6,0,4.52,41%,6.38,62%,0.44,18%,57%,0.2,http://ufcstats.com/fighter-details/bf0e700106d00e55,182.9
Ricardo Arona,"5' 11""",205 lbs.,,Orthodox,1978-07-17,14,5,0,1.66,48%,1.15,57%,2.41,48%,58%,1.2,http://ufcstats.com/fighter-details/05fbfe628658c538,180.3
Eli Aronov,"5' 10""",185 lbs.,"72.0""",Orthodox,1996-06-06,6,1,0,8.92,68%,6.49,38%,12.16,100%,0%,0.0,http://ufcstats.com/fighter-details/a90c200c3fbb22c4,177.8
Chalid Arrab,"5' 11""",205 lbs.,,Orthodox,1975-05-28,7,3,0,1.56,34%,1.63,56%,3.05,75%,37%,1.0,http://ufcstats.com/fighter-details/770b9d4813c25902,180.3
Akbarh Arreola,"5' 10""",155 lbs.,"71.0""",Southpaw,1983-01-14,23,11,1,2.32,45%,4.01,56%,1.07,100%,33%,0.4,http://ufcstats.com/fighter-details/c136b2a8852da5bd,177.8
Matt Arroyo,"5' 10""",170 lbs.,"72.0""",Orthodox,1982-09-01,3,3,0,1.62,47%,2.01,58%,2.12,36%,100%,5.3,http://ufcstats.com/fighter-details/de62052b2ede65ba,177.8
Antonio Arroyo,"6' 3""",185 lbs.,"73.0""",Orthodox,1989-07-01,9,5,0,2.82,66%,2.02,50%,1.14,41%,41%,0.2,http://ufcstats.com/fighter-details/61fb8098ccf81c7f,190.5
Gilles Arsene,"5' 9""",190 lbs.,,Southpaw,1970-12-23,1,1,0,0.06,10%,2.45,32%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/2dea80c069847321,175.3
Veta Arteaga,"5' 7""",125 lbs.,,,,3,1,0,3.2,36%,1.92,65%,0.0,0%,40%,0.0,http://ufcstats.com/fighter-details/91e3388e69060e69,170.2
Cesar Arzamendia,"5' 11""",155 lbs.,,Orthodox,1991-01-31,8,3,0,5.37,45%,5.2,56%,7.32,75%,0%,2.4,http://ufcstats.com/fighter-details/49f78022126bf4a4,180.3
Kai Asakura,"5' 8""",125 lbs.,"69.0""",Orthodox,1993-10-31,21,6,0,2.27,32%,3.53,52%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/d33da8a3d82bdb62,172.7
Teddy Ash,"6' 1""",185 lbs.,"73.0""",Switch,1989-12-27,14,5,0,7.27,61%,6.8,28%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/a373085066dbfb54,185.4
Arman Ashimov,"5' 6""",125 lbs.,,,1992-01-14,11,3,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/d26a0988c9dc9886,167.6
Yanal Ashmouz,"5' 9""",155 lbs.,"69.0""",Orthodox,1995-03-31,8,2,0,2.88,50%,4.78,50%,3.24,38%,64%,0.0,http://ufcstats.com/fighter-details/c739c2995a275314,175.3
Asjabharan,"5' 6""",135 lbs.,,,1992-07-31,7,6,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/8be9deb7d6b36354,167.6
Askar Askar,"5' 7""",145 lbs.,"69.0""",Orthodox,1994-08-19,11,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/2abc414136504554,170.2
Askar Askarov,"5' 6""",125 lbs.,"67.0""",Orthodox,1992-10-09,14,1,1,3.05,54%,2.8,57%,2.6,24%,66%,0.4,http://ufcstats.com/fighter-details/b1d19449397541dc,167.6
Cyril Asker,"6' 0""",247 lbs.,"74.0""",Orthodox,1985-12-24,9,4,0,3.35,39%,5.82,35%,4.41,62%,100%,0.9,http://ufcstats.com/fighter-details/9be6020024133293,182.9
Khusein Askhabov,"5' 8""",145 lbs.,"69.0""",Orthodox,1995-02-13,23,1,0,2.0,26%,4.13,56%,0.0,0%,66%,0.0,http://ufcstats.com/fighter-details/5c10da56d712ac9c,172.7
Scott Askham,"6' 3""",185 lbs.,"75.0""",Southpaw,1988-05-20,14,4,0,3.03,46%,3.52,52%,0.44,18%,65%,0.7,http://ufcstats.com/fighter-details/06827d70c53ff0d9,190.5
Ben Askren,"5' 11""",170 lbs.,"73.0""",Orthodox,1984-07-18,19,2,0,3.64,49%,5.66,36%,4.33,55%,0%,0.9,http://ufcstats.com/fighter-details/0b31f87be71ebbb1,180.3
Ibo Aslan,"6' 3""",205 lbs.,"77.0""",Orthodox,1996-04-23,14,4,0,5.75,48%,3.96,56%,0.0,0%,87%,0.0,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,190.5
Tom Aspinall,"6' 5""",255 lbs.,"78.0""",Orthodox,1993-04-11,15,3,0,7.63,67%,3.62,56%,2.62,80%,100%,1.3,http://ufcstats.com/fighter-details/399afbabc02376b5,195.6
Steven Asplund,"6' 5""",260 lbs.,"78.0""",Orthodox,1998-07-16,7,1,0,19.93,58%,7.49,57%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/e56cee1ad697db04,195.6
Bruno Assis,"6' 2""",185 lbs.,,Orthodox,1992-05-23,8,4,0,1.27,43%,3.2,36%,2.0,50%,66%,1.0,http://ufcstats.com/fighter-details/ff222167cce02919,188.0
Junior Assuncao,"5' 9""",145 lbs.,"72.0""",Orthodox,1981-06-24,16,6,0,3.31,62%,2.06,44%,2.43,24%,66%,0.7,http://ufcstats.com/fighter-details/d0d7160824278840,175.3
Raphael Assuncao,"5' 5""",135 lbs.,"66.0""",Orthodox,1982-07-19,28,10,0,3.22,42%,2.5,66%,1.65,39%,78%,0.2,http://ufcstats.com/fighter-details/2f13e4020cea5b38,165.1
Michael Aswell Jr.,"5' 8""",145 lbs.,"69.0""",Orthodox,2000-09-27,11,3,0,9.56,45%,7.79,54%,0.0,0%,57%,0.0,http://ufcstats.com/fighter-details/01c9e4013afce141,172.7
Bazigit Atajev,"6' 1""",230 lbs.,,Orthodox,1979-03-12,17,1,0,0.87,41%,3.14,49%,1.0,33%,0%,0.0,http://ufcstats.com/fighter-details/fd7acf42bd6e7e95,185.4
Rich Attonito,"5' 10""",170 lbs.,"72.0""",Orthodox,1977-06-16,10,5,0,2.28,47%,2.13,59%,0.74,37%,75%,0.0,http://ufcstats.com/fighter-details/210935fd21670f6d,177.8
Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70.0""",Southpaw,1989-02-23,11,5,0,2.48,51%,2.97,55%,2.36,33%,70%,0.5,http://ufcstats.com/fighter-details/55ee431411ccf07a,175.3
Pat Audinwood,"6' 0""",155 lbs.,,Orthodox,1986-04-16,11,2,1,1.17,12%,4.31,41%,0.8,50%,0%,0.0,http://ufcstats.com/fighter-details/196ed28337adc630,182.9
Jose Augusto,"6' 3""",251 lbs.,,,1992-03-28,6,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/4d3b08ab127c7585,190.5
Marcus Aurelio,"5' 10""",155 lbs.,"74.0""",Orthodox,1973-08-18,22,10,0,1.42,33%,2.27,59%,1.69,27%,27%,1.3,http://ufcstats.com/fighter-details/04643fd03d9159cc,177.8
David Avellan,"5' 9""",185 lbs.,,Orthodox,1981-07-07,2,1,0,3.33,25%,10.0,57%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/956dcac65e7b34d6,175.3
Blas Avena,"6' 0""",170 lbs.,"74.0""",Orthodox,1983-06-30,8,7,0,2.34,47%,3.36,43%,2.37,80%,50%,1.8,http://ufcstats.com/fighter-details/8753e125f4499816,182.9
Levi Avera,"6' 1""",170 lbs.,,,1982-05-17,18,15,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c,185.4
Anthony Avila,"5' 7""",145 lbs.,,,1988-12-29,13,5,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/033d19259f589457,170.2
Chris Avila,"5' 10""",145 lbs.,,Orthodox,1993-01-16,5,4,0,2.37,30%,4.17,48%,0.0,0%,46%,0.0,http://ufcstats.com/fighter-details/4665cbf36b08193b,177.8
Julia Avila,"5' 7""",135 lbs.,"68.0""",Orthodox,1988-05-11,9,4,0,2.81,42%,3.28,55%,0.63,37%,52%,0.2,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7,170.2
Saad Awad,"5' 11""",155 lbs.,,,1983-06-07,20,9,0,2.13,26%,1.87,60%,0.5,16%,100%,0.5,http://ufcstats.com/fighter-details/da603332ad41f165,180.3
Javy Ayala,"6' 1""",265 lbs.,,,1988-08-20,10,5,0,0.83,25%,5.0,33%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/26387c19f32dda0f,185.4
Jessin Ayari,"6' 0""",155 lbs.,"73.0""",Orthodox,1992-05-31,16,6,0,3.53,37%,3.59,58%,0.0,0%,50%,0.3,http://ufcstats.com/fighter-details/6eaec40f724852f4,182.9
Abu Azaitar,"5' 9""",185 lbs.,"76.0""",Orthodox,1986-03-10,14,4,1,4.38,43%,4.32,51%,1.0,37%,42%,0.0,http://ufcstats.com/fighter-details/46d0a888d87d91ac,175.3
Ottman Azaitar,"5' 8""",155 lbs.,"71.0""",Switch,1990-02-20,13,3,0,4.43,44%,4.11,52%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/ee18ff42063174df,172.7
Luiz Azeredo,"5' 9""",154 lbs.,,Orthodox,1976-06-10,15,10,0,2.16,39%,2.76,57%,1.07,50%,45%,0.3,http://ufcstats.com/fighter-details/063649e21bc9d6d5,175.3
Luciano Azevedo,"6' 3""",161 lbs.,,Orthodox,1981-06-25,17,9,1,0.76,45%,1.97,27%,2.28,11%,0%,0.0,http://ufcstats.com/fighter-details/9bcfb40dbcd50568,190.5
Hunter Azure,"5' 8""",145 lbs.,"69.0""",Orthodox,1992-03-02,9,2,0,3.92,53%,2.08,58%,1.97,34%,67%,1.3,http://ufcstats.com/fighter-details/2af2f2e26c4c0402,172.7
Niklas Backstrom,"6' 1""",145 lbs.,,Orthodox,1989-08-22,11,3,0,1.12,41%,3.65,40%,2.92,80%,72%,2.2,http://ufcstats.com/fighter-details/39cc64bf0a269db9,185.4
Seth Baczynski,"6' 3""",170 lbs.,"75.0""",Orthodox,1981-10-26,20,14,0,3.08,31%,3.14,51%,0.89,16%,48%,0.8,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a,190.5
Abdul Azeem Badakhshi,,145 lbs.,,,,13,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/968764372c49eab6,
Ryan Bader,"6' 2""",205 lbs.,"74.0""",Orthodox,1983-06-07,23,5,0,2.82,43%,1.39,71%,3.37,44%,80%,0.4,http://ufcstats.com/fighter-details/c0ab242c40decc55,188.0
Izabela Badurek,"5' 5""",115 lbs.,,Orthodox,1991-07-11,6,3,0,3.74,71%,4.9,32%,1.75,12%,100%,0.0,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664,165.1
Miguel Baeza,"6' 2""",170 lbs.,"74.0""",Orthodox,1992-08-23,10,4,0,4.09,49%,5.92,46%,0.36,22%,54%,2.0,http://ufcstats.com/fighter-details/82d4c957649faf9b,188.0
Ali Bagautinov,"5' 4""",125 lbs.,"65.0""",Orthodox,1985-06-10,15,6,0,2.85,42%,3.09,52%,2.51,36%,65%,0.3,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3,162.6
Mehdi Baghdad,"6' 1""",155 lbs.,,Orthodox,1985-04-13,11,5,0,3.13,30%,4.56,46%,0.0,0%,33%,0.0,http://ufcstats.com/fighter-details/e4d2564ea0e34e2b,185.4
Melsik Baghdasaryan,"5' 9""",145 lbs.,"70.0""",Southpaw,1992-01-28,8,3,0,5.04,59%,3.14,56%,0.0,0%,72%,0.0,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6,175.3
Siyar Bahadurzada,"5' 11""",170 lbs.,"73.0""",Orthodox,1984-04-17,24,8,1,2.91,40%,3.23,49%,1.32,61%,62%,0.3,http://ufcstats.com/fighter-details/aec185309b4843d0,180.3
Ignacio Bahamondes,"6' 3""",155 lbs.,"75.0""",Orthodox,1997-08-27,17,6,0,6.55,45%,4.33,56%,0.0,0%,75%,0.4,http://ufcstats.com/fighter-details/e4a47b07044ddd72,190.5
Bahatebole Batebolati,"5' 8""",170 lbs.,"71.0""",Southpaw,1997-09-12,10,1,1,4.02,45%,4.83,61%,1.34,66%,100%,0.0,http://ufcstats.com/fighter-details/8f313e9c3a39c06e,172.7
Shamar Bailey,"5' 9""",155 lbs.,"75.0""",Southpaw,1982-09-22,16,11,0,1.56,20%,3.91,69%,1.5,33%,37%,0.0,http://ufcstats.com/fighter-details/e2b8186b618b00c4,175.3
Jordan Bailey,"5' 9""",145 lbs.,,,,6,3,0,1.74,40%,0.29,0%,4.35,100%,0%,4.3,http://ufcstats.com/fighter-details/34dbcd4dbaf21a36,175.3
Scott Baker,"6' 0""",210 lbs.,,,,1,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/7d5b12de1625984e,182.9
Bryan Baker,"6' 3""",185 lbs.,,Orthodox,1985-10-13,18,5,0,1.78,52%,2.83,45%,0.44,50%,37%,0.9,http://ufcstats.com/fighter-details/898337ef520fe4d3,190.5
Jin Bala,"5' 9""",155 lbs.,,,,23,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/371efa53bd0cf669,175.3
Balajin,"5' 9""",145 lbs.,"72.0""",Orthodox,1992-03-31,23,4,0,1.4,33%,2.73,50%,2.0,20%,66%,0.0,http://ufcstats.com/fighter-details/e626e92a8f2a9737,175.3
Oluwale Bamgbose,"5' 11""",185 lbs.,"78.0""",Switch,1987-08-04,6,4,0,2.45,48%,2.7,55%,0.94,33%,37%,0.0,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c,180.3
Stephen Banaszak,"6' 0""",145 lbs.,,,1990-12-07,5,5,0,4.2,47%,1.15,66%,0.0,0%,100%,1.9,http://ufcstats.com/fighter-details/4c4b44e3cf5815b3,182.9
Marcin Bandel,"5' 10""",155 lbs.,,Orthodox,1989-10-10,15,7,0,0.79,50%,5.26,23%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/5c2ce761399dc9c5,177.8
Humberto Bandenay,"5' 11""",145 lbs.,"71.0""",Southpaw,1994-09-04,14,7,0,2.22,41%,4.79,41%,2.9,46%,62%,0.5,http://ufcstats.com/fighter-details/2c2caf2f2bab9df5,180.3
Tae Hyun Bang,"5' 9""",155 lbs.,"71.0""",Switch,1983-04-15,18,10,0,2.72,38%,2.07,66%,0.49,33%,57%,0.5,http://ufcstats.com/fighter-details/9a2d3567abc02e34,175.3
Yohan Banks,,,,,,2,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/c50ea21fe9ef478d,
Shauna Bannon,"5' 5""",115 lbs.,"65.0""",Switch,1993-10-23,7,2,0,4.32,43%,3.75,45%,0.0,0%,40%,0.7,http://ufcstats.com/fighter-details/9c442aaf149ea982,165.1
Antonio Banuelos,"5' 5""",135 lbs.,"63.0""",Orthodox,1979-09-23,20,11,1,2.69,33%,3.15,58%,1.62,62%,86%,0.4,http://ufcstats.com/fighter-details/9ddfb3369a3b0394,165.1
Iwo Baraniewski,"6' 0""",205 lbs.,"73.0""",Orthodox,1998-11-20,7,0,0,14.31,68%,17.61,42%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/1c23ec2f1b71be40,182.9
Renan Barao,"5' 6""",145 lbs.,"70.0""",Orthodox,1987-01-31,34,9,0,3.78,36%,3.9,57%,1.49,41%,91%,0.5,http://ufcstats.com/fighter-details/2c99576fefe53c7c,167.6
Junior Barata,"5' 10""",170 lbs.,,Orthodox,1982-01-25,9,3,1,4.03,33%,8.46,34%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/06dced58ca24a6bd,177.8
Maycee Barber,"5' 5""",125 lbs.,"65.0""",Switch,1998-05-18,15,2,0,4.61,53%,2.76,54%,1.58,45%,51%,0.1,http://ufcstats.com/fighter-details/6a740daf1b279661,165.1
Bryan Barberena,"6' 0""",185 lbs.,"72.0""",Southpaw,1989-05-03,18,12,0,5.35,48%,4.59,44%,0.13,22%,50%,0.3,http://ufcstats.com/fighter-details/a331233f597090a5,182.9
Djani Barbir,"6' 3""",185 lbs.,"79.0""",Orthodox,1997-08-09,7,1,0,3.64,40%,4.55,66%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/d4baaa0630bf5798,190.5
Dione Barbosa,"5' 6""",125 lbs.,"66.0""",Orthodox,1992-05-08,8,4,0,2.27,45%,2.45,66%,2.23,42%,50%,1.9,http://ufcstats.com/fighter-details/27b388f0aab49780,167.6
Marcio Barbosa,"5' 6""",145 lbs.,"70.0""",Orthodox,1998-05-22,17,2,0,8.27,47%,7.56,50%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/c85bad793cd14e28,167.6
Edson Barboza,"5' 11""",155 lbs.,"75.0""",Orthodox,1986-01-21,24,14,0,4.14,44%,4.68,55%,0.43,50%,73%,0.1,http://ufcstats.com/fighter-details/64a50dad704d1d49,180.3
Raoni Barcelos,"5' 7""",135 lbs.,"67.0""",Orthodox,1987-05-01,21,5,0,4.92,51%,4.4,61%,2.22,31%,87%,0.6,http://ufcstats.com/fighter-details/b9f28e7045fdfce7,170.2
Daniel Barez,"5' 6""",125 lbs.,"66.0""",Orthodox,1988-12-10,17,7,0,3.65,49%,5.95,50%,1.93,28%,80%,0.6,http://ufcstats.com/fighter-details/e8fe9c15d348e778,167.6
